gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,288,7168,7168,ck,0,0,52.5407,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,563.28,1095.79,0.0
gfx950,256,320,7168,7168,ck,2,0,53.192,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,618.2,1095.31,0.0
gfx950,256,352,7168,7168,ck,0,0,54.486,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,663.87,1081.92,0.0
gfx950,256,384,7168,7168,ck,0,0,53.8113,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,733.3,1108.28,0.0
gfx950,256,416,7168,7168,ck,0,0,53.9962,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,791.69,1117.22,0.0
gfx950,256,448,7168,7168,ck,0,0,54.38,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,846.57,1121.99,0.0
gfx950,256,480,7168,7168,ck,0,0,56.5124,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,872.82,1091.83,0.0
gfx950,256,512,7168,7168,ck,0,0,55.7516,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,943.71,1119.08,0.0
gfx950,256,544,7168,7168,ck,2,0,66.2862,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,843.34,951.61,0.0
gfx950,256,576,7168,7168,ck,2,0,66.5418,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,889.52,958.29,0.0
gfx950,256,608,7168,7168,cktile,29,0,79.1544,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,789.32,814.29,0.0
gfx950,256,640,7168,7168,cktile,28,0,78.9372,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,833.15,825.25,0.0
gfx950,256,672,7168,7168,cktile,28,0,79.3053,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,870.75,830.09,0.0
gfx950,256,704,7168,7168,cktile,28,0,78.9963,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,915.78,842.05,0.0
gfx950,256,736,7168,7168,cktile,11,0,79.401,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,952.53,846.43,0.0
gfx950,256,768,7168,7168,cktile,29,0,79.9944,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,986.57,848.75,0.0
gfx950,256,800,7168,7168,cktile,29,0,79.6101,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1032.64,861.49,0.0
gfx950,256,832,7168,7168,cktile,28,0,79.7029,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1072.69,869.12,0.0
gfx950,256,864,7168,7168,cktile,11,0,79.4385,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1117.66,880.68,0.0
gfx950,256,896,7168,7168,cktile,27,0,79.9688,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1151.37,883.44,0.0
gfx950,256,928,7168,7168,cktile,11,0,80.2673,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1188.05,888.73,0.0
gfx950,256,960,7168,7168,cktile,11,0,80.4244,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1226.62,895.55,0.0
gfx950,256,992,7168,7168,cktile,27,0,79.9088,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1275.68,909.94,0.0
gfx950,256,1024,7168,7168,cktile,28,0,80.7156,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1303.67,909.37,0.0
gfx950,256,8192,7168,7168,cktile,29,0,389.3389,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2162.16,584.43,0.0
gfx950,256,16384,7168,7168,cktile,11,0,723.4332,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2327.27,558.04,0.0
gfx950,256,32768,7168,7168,cktile,27,0,1444.3732,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2331.29,523.43,0.0
gfx950,256,65536,7168,7168,cktile,11,0,2907.6056,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2316.17,502.36,0.0
